,Uncovered Top Resistor,Lasered Top Resistor
0,33,770
1,43,770
2,44,770
3,44,771
4,43,770
5,43,770
6,46,770
7,45,770
8,42,770
9,42,770
10,43,770
11,44,770
12,43,770
13,43,770
14,42,770
15,43,770
16,42,770
17,43,770
18,44,769
19,43,770
20,45,770
21,43,770
22,43,770
23,43,770
24,43,770
25,43,770
26,43,769
27,43,770
28,43,770
29,44,769
30,45,770
31,44,770
32,44,770
33,45,769
34,45,769
35,43,770
36,45,770
37,44,770
38,43,769
39,45,769
40,45,770
41,45,770
42,45,770
43,44,770
44,43,770
45,45,770
46,44,769
47,44,770
48,44,770
49,44,770
50,43,770
51,44,770
52,44,770
53,44,769
54,44,770
55,43,770
56,44,770
57,44,770
58,42,769
59,44,770
60,44,769
61,44,770
62,43,769
63,44,769
64,44,769
65,44,769
66,45,769
67,44,770
68,44,770
69,45,769
70,45,769
71,44,769
72,45,770
73,44,769
74,46,769
75,45,769
76,45,770
77,45,770
78,45,769
79,44,769
80,45,769
81,45,769
82,45,769
83,45,769
84,45,770
85,44,770
86,44,770
87,44,770
88,45,769
89,43,769
90,44,770
91,44,769
92,45,769
93,44,769
94,44,769
95,45,769
96,44,769
97,45,770
98,45,770
99,44,770
100,45,769
101,45,769
102,46,769
103,43,769
104,45,769
105,44,769
106,44,770
107,44,769
108,45,769
109,44,770
110,45,769
111,45,769
112,42,769
113,42,770
